threads      : rayon = 20, available_parallelism = 20
trial    1: playouts =  1000000, mean = 6.512276e54, stderr = 1.583141e53
trial    2: playouts =  1000000, mean = 6.491393e54, stderr = 2.780327e53
trial    3: playouts =  1000000, mean = 6.346563e54, stderr = 2.219832e53
trial    4: playouts =  1000000, mean = 6.167643e54, stderr = 1.287334e53
trial    5: playouts =  1000000, mean = 6.414404e54, stderr = 1.563002e53
trial    6: playouts =  1000000, mean = 6.620456e54, stderr = 2.476202e53
trial    7: playouts =  1000000, mean = 7.054506e54, stderr = 6.668137e53
trial    8: playouts =  1000000, mean = 1.116546e55, stderr = 4.569024e54
trial    9: playouts =  1000000, mean = 6.180252e54, stderr = 1.655712e53
trial   10: playouts =  1000000, mean = 6.759100e54, stderr = 3.931485e53
trial   11: playouts =  1000000, mean = 6.660298e54, stderr = 2.103526e53
trial   12: playouts =  1000000, mean = 6.170557e54, stderr = 1.562485e53
trial   13: playouts =  1000000, mean = 5.916304e54, stderr = 1.220190e53
trial   14: playouts =  1000000, mean = 6.584323e54, stderr = 2.404646e53
trial   15: playouts =  1000000, mean = 6.643326e54, stderr = 2.117321e53
trial   16: playouts =  1000000, mean = 6.724546e54, stderr = 2.410910e53
trial   17: playouts =  1000000, mean = 6.313800e54, stderr = 1.790546e53
trial   18: playouts =  1000000, mean = 6.381742e54, stderr = 1.652274e53
trial   19: playouts =  1000000, mean = 6.270191e54, stderr = 1.695044e53
trial   20: playouts =  1000000, mean = 6.369788e54, stderr = 1.420386e53
trial   21: playouts =  1000000, mean = 6.490541e54, stderr = 2.069232e53
trial   22: playouts =  1000000, mean = 6.801080e54, stderr = 3.110741e53
trial   23: playouts =  1000000, mean = 6.328923e54, stderr = 1.687056e53
trial   24: playouts =  1000000, mean = 6.432287e54, stderr = 1.920567e53
trial   25: playouts =  1000000, mean = 7.602857e54, stderr = 1.116251e54
trial   26: playouts =  1000000, mean = 6.329691e54, stderr = 1.619793e53
trial   27: playouts =  1000000, mean = 6.273782e54, stderr = 1.950006e53
trial   28: playouts =  1000000, mean = 6.454740e54, stderr = 2.621659e53
trial   29: playouts =  1000000, mean = 6.910930e54, stderr = 3.488992e53
trial   30: playouts =  1000000, mean = 6.320348e54, stderr = 1.888275e53
trial   31: playouts =  1000000, mean = 6.445950e54, stderr = 1.492533e53
trial   32: playouts =  1000000, mean = 6.260231e54, stderr = 1.679071e53
trial   33: playouts =  1000000, mean = 6.274373e54, stderr = 2.238886e53
trial   34: playouts =  1000000, mean = 6.664041e54, stderr = 2.378523e53
trial   35: playouts =  1000000, mean = 6.878167e54, stderr = 5.692549e53
trial   36: playouts =  1000000, mean = 6.480708e54, stderr = 1.655037e53
trial   37: playouts =  1000000, mean = 6.450435e54, stderr = 2.019048e53
trial   38: playouts =  1000000, mean = 6.811464e54, stderr = 2.075653e53
trial   39: playouts =  1000000, mean = 6.366155e54, stderr = 1.815927e53
trial   40: playouts =  1000000, mean = 6.728486e54, stderr = 3.634819e53
trial   41: playouts =  1000000, mean = 6.424353e54, stderr = 1.901295e53
trial   42: playouts =  1000000, mean = 6.489713e54, stderr = 1.448084e53
trial   43: playouts =  1000000, mean = 6.635720e54, stderr = 2.033452e53
trial   44: playouts =  1000000, mean = 6.132926e54, stderr = 1.278698e53
trial   45: playouts =  1000000, mean = 6.403337e54, stderr = 2.309673e53
trial   46: playouts =  1000000, mean = 6.420540e54, stderr = 1.608518e53
trial   47: playouts =  1000000, mean = 6.315219e54, stderr = 1.742063e53
trial   48: playouts =  1000000, mean = 6.570909e54, stderr = 2.137046e53
trial   49: playouts =  1000000, mean = 6.836078e54, stderr = 2.517924e53
trial   50: playouts =  1000000, mean = 6.286588e54, stderr = 2.143138e53
trial   51: playouts =  1000000, mean = 6.400377e54, stderr = 1.938880e53
trial   52: playouts =  1000000, mean = 6.386378e54, stderr = 1.644976e53
trial   53: playouts =  1000000, mean = 6.595109e54, stderr = 2.551906e53
trial   54: playouts =  1000000, mean = 6.200987e54, stderr = 1.592075e53
trial   55: playouts =  1000000, mean = 6.335168e54, stderr = 1.656688e53
trial   56: playouts =  1000000, mean = 6.324926e54, stderr = 2.005049e53
trial   57: playouts =  1000000, mean = 6.483900e54, stderr = 2.168575e53
trial   58: playouts =  1000000, mean = 6.376008e54, stderr = 2.002758e53
trial   59: playouts =  1000000, mean = 6.473729e54, stderr = 1.941363e53
trial   60: playouts =  1000000, mean = 6.386176e54, stderr = 2.274739e53
trial   61: playouts =  1000000, mean = 6.196165e54, stderr = 1.457015e53
trial   62: playouts =  1000000, mean = 6.853870e54, stderr = 4.832654e53
trial   63: playouts =  1000000, mean = 7.034289e54, stderr = 4.572607e53
trial   64: playouts =  1000000, mean = 6.595560e54, stderr = 3.266918e53
trial   65: playouts =  1000000, mean = 6.498353e54, stderr = 2.113455e53
trial   66: playouts =  1000000, mean = 6.411593e54, stderr = 1.911528e53
trial   67: playouts =  1000000, mean = 6.023837e54, stderr = 1.356508e53
trial   68: playouts =  1000000, mean = 6.862027e54, stderr = 2.440016e53
trial   69: playouts =  1000000, mean = 6.540604e54, stderr = 1.931084e53
trial   70: playouts =  1000000, mean = 6.492588e54, stderr = 1.683881e53
trial   71: playouts =  1000000, mean = 6.266556e54, stderr = 1.432592e53
trial   72: playouts =  1000000, mean = 6.470960e54, stderr = 1.802767e53
trial   73: playouts =  1000000, mean = 6.289082e54, stderr = 1.625516e53
trial   74: playouts =  1000000, mean = 6.478012e54, stderr = 1.656168e53
trial   75: playouts =  1000000, mean = 6.397552e54, stderr = 1.746055e53
trial   76: playouts =  1000000, mean = 6.721718e54, stderr = 2.867025e53
trial   77: playouts =  1000000, mean = 6.440462e54, stderr = 1.464261e53
trial   78: playouts =  1000000, mean = 6.439015e54, stderr = 1.486666e53
trial   79: playouts =  1000000, mean = 6.512294e54, stderr = 2.416945e53
trial   80: playouts =  1000000, mean = 6.178385e54, stderr = 1.303633e53
trial   81: playouts =  1000000, mean = 6.528462e54, stderr = 1.576026e53
trial   82: playouts =  1000000, mean = 6.376262e54, stderr = 1.540846e53
trial   83: playouts =  1000000, mean = 6.450594e54, stderr = 1.883668e53
trial   84: playouts =  1000000, mean = 6.425510e54, stderr = 1.867998e53
trial   85: playouts =  1000000, mean = 6.546233e54, stderr = 1.955961e53
trial   86: playouts =  1000000, mean = 6.279707e54, stderr = 1.532866e53
trial   87: playouts =  1000000, mean = 6.160772e54, stderr = 1.391437e53
trial   88: playouts =  1000000, mean = 6.709621e54, stderr = 2.768289e53
trial   89: playouts =  1000000, mean = 6.300316e54, stderr = 1.811666e53
trial   90: playouts =  1000000, mean = 6.431402e54, stderr = 1.512734e53
trial   91: playouts =  1000000, mean = 6.107078e54, stderr = 1.551420e53
trial   92: playouts =  1000000, mean = 5.989595e54, stderr = 1.230423e53
trial   93: playouts =  1000000, mean = 6.022737e54, stderr = 1.305715e53
trial   94: playouts =  1000000, mean = 6.207942e54, stderr = 1.595239e53
trial   95: playouts =  1000000, mean = 6.072970e54, stderr = 1.541250e53
trial   96: playouts =  1000000, mean = 5.937159e54, stderr = 1.174205e53
trial   97: playouts =  1000000, mean = 6.340988e54, stderr = 1.747966e53
trial   98: playouts =  1000000, mean = 6.136155e54, stderr = 1.331349e53
trial   99: playouts =  1000000, mean = 6.428291e54, stderr = 1.676485e53
trial  100: playouts =  1000000, mean = 6.564575e54, stderr = 2.288582e53
--- summary over trials (trial means) ---
trials                : 100
mean of trial means   : 6.492495e54
SD of trial means     : 5.342666e53
SE of mean (over trial means): 5.342666e52
