index=0, ans=false, vars=55047, clauses=341815
index=1, ans=false, vars=32969, clauses=223694
index=2, ans=true, vars=32795, clauses=210713
index=3, ans=false, vars=48404, clauses=283769
index=4, ans=true, vars=49517, clauses=302390
index=5, ans=false, vars=48206, clauses=282879
index=6, ans=false, vars=27112, clauses=199567
index=7, ans=false, vars=39590, clauses=246875
index=8, ans=false, vars=25877, clauses=172344
index=9, ans=false, vars=36473, clauses=231193
index=10, ans=false, vars=27827, clauses=203082
index=11, ans=false, vars=19505, clauses=150630
index=12, ans=false, vars=30531, clauses=218849
index=13, ans=true, vars=18514, clauses=139409
index=14, ans=false, vars=30430, clauses=217736
index=15, ans=false, vars=50505, clauses=316238
index=16, ans=false, vars=30487, clauses=212494
index=17, ans=false, vars=23811, clauses=183195
index=18, ans=false, vars=54823, clauses=330675
index=19, ans=false, vars=58023, clauses=348713
index=20, ans=false, vars=56968, clauses=355084
index=21, ans=false, vars=21607, clauses=163702
index=22, ans=false, vars=58483, clauses=360140
index=23, ans=false, vars=55605, clauses=321447
index=24, ans=false, vars=22496, clauses=158729
index=25, ans=true, vars=27277, clauses=183355
index=26, ans=false, vars=17787, clauses=146527
index=27, ans=false, vars=38315, clauses=237352
index=28, ans=false, vars=45343, clauses=305792
index=29, ans=false, vars=24516, clauses=179447
index=30, ans=false, vars=26280, clauses=179880
index=31, ans=true, vars=42506, clauses=256813
index=32, ans=true, vars=24252, clauses=172728
index=33, ans=false, vars=18297, clauses=159092
index=34, ans=false, vars=62853, clauses=373808
index=35, ans=true, vars=81334, clauses=427318
index=36, ans=false, vars=18804, clauses=155280
index=37, ans=false, vars=41769, clauses=255369
index=38, ans=true, vars=21129, clauses=161677
index=39, ans=false, vars=30464, clauses=181932
index=40, ans=false, vars=17403, clauses=133792
index=41, ans=false, vars=44095, clauses=264425
index=42, ans=true, vars=71185, clauses=402340
index=43, ans=false, vars=36765, clauses=254541
index=44, ans=false, vars=40619, clauses=263264
index=45, ans=false, vars=25016, clauses=168267
index=46, ans=true, vars=52981, clauses=303410
index=47, ans=false, vars=48242, clauses=293197
index=48, ans=true, vars=68045, clauses=370250
index=49, ans=false, vars=31238, clauses=218299
index=50, ans=false, vars=26525, clauses=185707
index=51, ans=false, vars=42547, clauses=267642
index=52, ans=false, vars=73703, clauses=391309
index=53, ans=false, vars=40962, clauses=262004
index=54, ans=true, vars=36086, clauses=224014
index=55, ans=false, vars=42486, clauses=269502
index=56, ans=false, vars=46787, clauses=281885
index=57, ans=false, vars=58280, clauses=335874
index=58, ans=false, vars=32089, clauses=242932
index=59, ans=true, vars=19034, clauses=138370
index=60, ans=false, vars=29922, clauses=188086
index=61, ans=false, vars=26703, clauses=194051
index=62, ans=false, vars=30531, clauses=198652
index=63, ans=false, vars=25972, clauses=171219
index=64, ans=false, vars=59438, clauses=357454
index=65, ans=false, vars=26308, clauses=185791
index=66, ans=false, vars=38400, clauses=256219
index=67, ans=false, vars=20712, clauses=166159
index=68, ans=false, vars=30442, clauses=211489
index=69, ans=false, vars=22151, clauses=176609
index=70, ans=true, vars=52947, clauses=291851
index=71, ans=false, vars=22544, clauses=163204
index=72, ans=false, vars=49818, clauses=305552
index=73, ans=false, vars=45566, clauses=288367
index=74, ans=true, vars=63889, clauses=392841
index=75, ans=false, vars=31644, clauses=220227
index=76, ans=false, vars=72028, clauses=413630
index=77, ans=false, vars=16905, clauses=142187
index=78, ans=false, vars=56938, clauses=348011
index=79, ans=false, vars=67645, clauses=382043
index=80, ans=true, vars=48696, clauses=300223
index=81, ans=true, vars=34584, clauses=207802
index=82, ans=false, vars=61957, clauses=366341
index=83, ans=false, vars=41490, clauses=275411
index=84, ans=false, vars=38213, clauses=248741
index=85, ans=false, vars=38832, clauses=237949
index=86, ans=false, vars=27781, clauses=178834
index=87, ans=false, vars=27683, clauses=189974
index=88, ans=false, vars=70306, clauses=405319
index=89, ans=true, vars=35865, clauses=233958
index=90, ans=true, vars=34073, clauses=210958
index=91, ans=false, vars=32599, clauses=196432
index=92, ans=false, vars=76412, clauses=410532
index=93, ans=false, vars=27810, clauses=171994
index=94, ans=false, vars=61067, clauses=349905
index=95, ans=true, vars=68660, clauses=374832
index=96, ans=false, vars=36640, clauses=243624
index=97, ans=true, vars=37748, clauses=231972
index=98, ans=false, vars=17864, clauses=149210
index=99, ans=false, vars=22630, clauses=185579
index=100, ans=false, vars=22980, clauses=162172
index=101, ans=false, vars=60184, clauses=346378
index=102, ans=false, vars=53619, clauses=304233
index=103, ans=true, vars=39089, clauses=236000
index=104, ans=false, vars=58146, clauses=328242
index=105, ans=true, vars=68194, clauses=387823
index=106, ans=false, vars=27296, clauses=173821
index=107, ans=false, vars=53343, clauses=304390
index=108, ans=false, vars=38430, clauses=232980
index=109, ans=true, vars=21939, clauses=168271
index=110, ans=true, vars=35705, clauses=220322
index=111, ans=false, vars=90778, clauses=497013
index=112, ans=true, vars=35198, clauses=214509
index=113, ans=true, vars=83178, clauses=446149
index=114, ans=true, vars=74872, clauses=400051
index=115, ans=false, vars=56143, clauses=332704
index=116, ans=false, vars=21914, clauses=175352
index=117, ans=false, vars=22711, clauses=168242
index=118, ans=true, vars=30581, clauses=183920
index=119, ans=false, vars=42835, clauses=261971
index=120, ans=false, vars=32553, clauses=220164
index=121, ans=false, vars=38461, clauses=263101
index=122, ans=false, vars=25546, clauses=172770
index=123, ans=false, vars=48189, clauses=261050
index=124, ans=false, vars=30358, clauses=205614
index=125, ans=true, vars=49025, clauses=308358
index=126, ans=false, vars=15407, clauses=130645
index=127, ans=false, vars=38271, clauses=236961
index=128, ans=false, vars=20540, clauses=131451
index=129, ans=true, vars=51679, clauses=300225
index=130, ans=false, vars=56735, clauses=340619
index=131, ans=true, vars=42374, clauses=271413
index=132, ans=true, vars=43012, clauses=264606
index=133, ans=false, vars=35909, clauses=226638
index=134, ans=false, vars=26756, clauses=176755
index=135, ans=true, vars=17015, clauses=127775
index=136, ans=false, vars=20859, clauses=156380
index=137, ans=false, vars=29939, clauses=209815
index=138, ans=false, vars=67147, clauses=380477
index=139, ans=false, vars=33848, clauses=215355
index=140, ans=true, vars=56510, clauses=332248
index=141, ans=false, vars=26867, clauses=184375
index=142, ans=false, vars=25836, clauses=187624
index=143, ans=false, vars=38014, clauses=242399
index=144, ans=true, vars=33170, clauses=191966
index=145, ans=false, vars=24658, clauses=172632
index=146, ans=false, vars=32833, clauses=200688
index=147, ans=false, vars=38527, clauses=265984
index=148, ans=true, vars=59957, clauses=340066
index=149, ans=false, vars=52849, clauses=310608
index=150, ans=false, vars=28162, clauses=199934
index=151, ans=true, vars=48440, clauses=270616
index=152, ans=true, vars=40927, clauses=245172
index=153, ans=true, vars=83513, clauses=470157
index=154, ans=true, vars=37651, clauses=245861
index=155, ans=false, vars=61383, clauses=330071
index=156, ans=true, vars=43612, clauses=279500
index=157, ans=false, vars=34715, clauses=233318
index=158, ans=false, vars=51712, clauses=294290
index=159, ans=false, vars=15311, clauses=130007
index=160, ans=false, vars=45944, clauses=288748
index=161, ans=false, vars=21714, clauses=164568
index=162, ans=false, vars=39161, clauses=267352
index=163, ans=false, vars=31349, clauses=219054
index=164, ans=true, vars=33390, clauses=224746
index=165, ans=true, vars=43837, clauses=268917
index=166, ans=true, vars=29674, clauses=194112
index=167, ans=false, vars=46344, clauses=273409
index=168, ans=false, vars=18394, clauses=140231
index=169, ans=false, vars=21809, clauses=159157
index=170, ans=false, vars=26916, clauses=177434
index=171, ans=false, vars=40678, clauses=258317
index=172, ans=false, vars=32287, clauses=231132
index=173, ans=false, vars=14185, clauses=114660
index=174, ans=false, vars=28472, clauses=194430
